0.18866	0.73815	0.96770	0.59320	0.22079
0.30571	0.31113	0.71580	0.75235	0.10440
0.81951	0.98223	0.49337	0.80906	0.68011
0.92021	0.38974	0.62153	0.68361	0.73936
0.48516	0.02847	0.61394	0.97636	0.32288
0.94493	0.45972	0.39503	0.67842	0.08813
0.34684	0.01062	0.99354	0.94401	0.09397
0.88762	0.39991	0.32363	0.26758	0.96828
0.10068	0.71343	0.95434	0.04581	0.34484
0.62841	0.06621	0.96439	0.41181	0.30370
0.52229	0.28488	0.30159	0.64408	0.68976
0.83421	0.03633	0.99117	0.72882	0.32628
0.98085	0.36860	0.05942	0.10676	0.11606
0.28883	0.36288	0.17774	0.85405	0.42071
0.88085	0.34591	0.07699	0.33469	0.43207
0.39207	0.01130	0.77635	0.40705	0.58950
0.94368	0.47595	0.23142	0.33946	0.54682
0.78016	0.50725	0.17002	0.69952	0.35621
0.68852	0.85249	0.02837	0.57906	0.69802
0.04364	0.74890	0.72350	0.34357	0.60047
