0.31663	0.82589	0.98050	0.25773	0.43091
0.61010	0.67611	0.17553	0.02895	0.37810
0.27266	0.10222	0.65595	0.43592	0.81048
0.59382	0.05907	0.30524	0.07315	0.37615
0.03220	0.36391	0.09815	0.46834	0.38344
0.73457	0.11260	0.35998	0.28911	0.74911
0.70943	0.85507	0.77230	0.18305	0.00748
0.31558	0.83923	0.93304	0.56359	0.46141
0.90504	0.04996	0.83095	0.25428	0.77522
0.86697	0.31130	0.07747	0.43160	0.38731
0.49707	0.11163	0.00029	0.09708	0.11158
0.86010	0.59431	0.02860	0.76915	0.44395
0.94018	0.50503	0.31781	0.43231	0.70255
0.62139	0.61069	0.29891	0.28926	0.14895
0.62685	0.47942	0.33687	0.04264	0.43353
0.56307	0.74241	0.34414	0.47217	0.89743
0.83405	0.02122	0.54652	0.39429	0.47330
0.72276	0.22057	0.34370	0.51973	0.89281
0.60285	0.48543	0.16708	0.36738	0.52949
0.57531	0.15297	0.53355	0.47755	0.98003
